,Athlete_ID_x,Fight_Result,Wins_x,Losses_x,Takedowns_Ratio_x,Fighting_Category_x,Age_x,Streak_Athlete_ID_x,Significant_Strikes_Ratio_x,Athlete_ID_y,Wins_y,Losses_y,Fighting_Category_y,Age_y,Streak_Athlete_ID_y,Takedowns_Ratio_y,Significant_Strikes_Ratio_y,Fight_Style_Matchup,Age_diff,Height_diff,Weight_diff,Reach_diff,Significant_Strikes_Ratio_diff,Takedowns_Ratio_diff,Streak_Athlete_ID_diff
11432,rolando-dy,0,9,6,0.2,Striking,25.0,-1,0.3765586034912718,shane-young,13,8,Striking,23.0,-1,0.125,0.40720524017467247,Striking vs Striking,2.0,0.0,0.5,-3.0,-0.030646636683400674,0.07500000000000001,0
11682,rutohito-kurain,1,23,4,0.14814814814814814,Striking,24.0,1,0.5458768873403019,shane-young,13,8,Striking,25.0,1,0.125,0.40720524017467247,Striking vs Striking,-1.0,-1.0,24.30000000000001,0.0,0.13867164716562946,0.02314814814814814,0
10275,omar-morales,1,11,4,0.3333333333333333,Striking,33.0,1,0.4014423076923077,shane-young,13,8,Striking,26.0,2,0.125,0.40720524017467247,Striking vs Striking,7.0,3.0,10.5,0.5,-0.005762932482364758,0.20833333333333331,-1
4701,gabriel-miranda,1,17,7,0.1111111111111111,Grappling,32.0,1,0.4074074074074074,shane-young,13,8,Striking,28.0,3,0.125,0.40720524017467247,Grappling vs Striking,4.0,3.0,17.900000000000006,-1.5,0.00020216723273491777,-0.013888888888888895,-2
1444,blake-bilder,1,8,2,0.07692307692307693,Striking,32.0,1,0.48293963254593175,shane-young,13,8,Striking,28.0,4,0.125,0.40720524017467247,Striking vs Striking,4.0,0.0,-1.0,-4.0,0.07573439237125928,-0.04807692307692307,-3
4962,gina-mazany,0,7,6,0.19444444444444445,Striking,31.0,-2,0.5093555093555093,shanna-young,9,6,Striking,29.0,-1,0.0,0.4788732394366197,Striking vs Striking,2.0,-1.0,0.0,3.5,0.030482269918889637,0.19444444444444445,-1
9688,miranda-maverick,1,17,5,0.14545454545454545,Grappling,24.0,1,0.45235892691951896,shanna-young,9,6,Striking,29.0,1,0.0,0.4788732394366197,Grappling vs Striking,-5.0,-3.5,0.0,0.5,-0.026514312517100735,0.14545454545454545,0
6233,jesus-aguilar,1,11,2,0.0,Striking,26.0,1,0.5102040816326531,shannon-ross,13,9,Striking,32.0,1,0.0,0.3926174496644295,Striking vs Striking,-6.0,-2.0,-10.5,-11.5,0.11758663196822355,0.0,0
5290,hyunsung-park,1,9,0,0.09090909090909091,Striking,26.0,2,0.44981412639405205,shannon-ross,13,9,Striking,32.0,2,0.0,0.3926174496644295,Striking vs Striking,-6.0,1.0,-0.4000000000000057,-8.0,0.05719667672962253,0.09090909090909091,0
7809,kleidison-rodrigues,1,8,4,0.2222222222222222,Striking,26.0,1,0.5764411027568922,shannon-ross,13,9,Striking,32.0,3,0.0,0.3926174496644295,Striking vs Striking,-6.0,-1.0,-3.5,-7.0,0.18382365309246268,0.2222222222222222,-2
1780,bruno-silva-blindado,0,23,12,0.09523809523809523,Striking,33.0,-2,0.4798962386511025,shara-magomedov,15,0,Striking,28.0,-1,0.0,0.6538461538461539,Striking vs Striking,5.0,-2.0,1.0,1.0,-0.17394991519505137,0.09523809523809523,-1
9413,michal-oleksiejczuk,0,19,9,0.125,Striking,28.0,-1,0.5087900723888314,shara-magomedov,15,0,Striking,29.0,-2,0.0,0.6538461538461539,Striking vs Striking,-1.0,-2.0,12.800000000000011,1.0,-0.1450560814573224,0.125,1
1096,antonio-silva-0,0,12,5,0.0,Striking,32.0,-1,0.5,shara-magomedov,15,0,Striking,29.0,-3,0.0,0.6538461538461539,Striking vs Striking,3.0,3.0,1.0,7.0,-0.15384615384615385,0.0,2
1140,armen-petrosyan,0,9,4,0.0,Striking,33.0,-2,0.5298087739032621,shara-magomedov,15,0,Striking,29.0,-4,0.0,0.6538461538461539,Striking vs Striking,4.0,1.0,1.0,-2.0,-0.12403737994289177,0.0,2
1754,bruna-brasil,1,10,4,0.0,Striking,29.0,1,0.6140939597315436,shauna-bannon,6,1,Striking,28.0,1,0.0,0.4185303514376997,Striking vs Striking,1.0,1.0,-7.900000000000006,0.5,0.1955636082938439,0.0,0
566,alice-ardelean,0,9,7,0.4,Striking,31.0,-1,0.45288753799392095,shauna-bannon,6,1,Striking,29.0,-1,0.0,0.4185303514376997,Striking vs Striking,2.0,-2.0,-8.900000000000006,-3.0,0.034357186556221275,0.4,0
385,alex-oliveira,0,22,12,0.3023255813953488,Striking,30.0,-1,0.5113821138211382,shavkat-rakhmonov,19,0,Grappling,25.0,-1,0.07407407407407407,0.6009852216748769,Striking vs Grappling,5.0,-2.0,-1.0,-0.5,-0.0896031078537387,0.22825150732127475,0
9438,michel-prazeres,0,26,4,0.328,Grappling,37.0,-1,0.4716106604866744,shavkat-rakhmonov,19,0,Grappling,26.0,-2,0.07407407407407407,0.6009852216748769,Grappling vs Grappling,11.0,-7.0,-1.0,-9.5,-0.1293745611882025,0.25392592592592594,1
1986,carlston-harris,0,19,7,0.0,Striking,34.0,-1,0.4399092970521542,shavkat-rakhmonov,19,0,Grappling,27.0,-3,0.07407407407407407,0.6009852216748769,Striking vs Grappling,7.0,-1.0,-1.0,-1.0,-0.1610759246227227,-0.07407407407407407,2
10014,neil-magny,0,29,14,0.2679738562091503,Striking,34.0,-1,0.46408839779005523,shavkat-rakhmonov,19,0,Grappling,27.0,-4,0.07407407407407407,0.6009852216748769,Striking vs Grappling,7.0,2.0,0.0,3.0,-0.13689682388482166,0.19389978213507625,3
4792,geoff-neal,0,16,6,0.0,Striking,32.0,-1,0.5106382978723404,shavkat-rakhmonov,19,0,Grappling,28.0,-5,0.07407407407407407,0.6009852216748769,Striking vs Grappling,4.0,-2.0,0.0,-2.0,-0.0903469238025365,-0.07407407407407407,4
5306,ian-garry,0,15,1,0.0,Striking,26.0,-1,0.5495238095238095,shavkat-rakhmonov,19,0,Grappling,29.0,-6,0.07407407407407407,0.6009852216748769,Striking vs Grappling,-3.0,2.0,0.0,-2.5,-0.051461412151067365,-0.07407407407407407,5
10254,oli-thompson,0,9,4,0.0,Striking,30.0,-1,0.46218487394957986,shawn-jordan,18,7,Striking,25.0,-1,0.0,0.5098389982110912,Striking vs Striking,5.0,1.0,-33.0,-75.0,-0.04765412426151139,0.0,0
2260,cheick-kongo,1,28,8,0.0,Grappling,35.0,1,0.0,shawn-jordan,18,7,Striking,25.0,1,0.0,0.5098389982110912,Grappling vs Striking,10.0,4.0,-28.0,-75.0,-0.5098389982110912,0.0,0
9621,mike-russow,0,15,3,0.0,Grappling,-12.0,-1,0.0,shawn-jordan,18,7,Striking,26.0,-1,0.0,0.5098389982110912,Grappling vs Striking,-38.0,184.0,-265.0,-75.0,-0.5098389982110912,0.0,0
10390,pat-barry,0,8,7,0.0,Grappling,31.0,-1,0.0,shawn-jordan,18,7,Striking,26.0,-2,0.0,0.5098389982110912,Grappling vs Striking,5.0,-1.0,-28.0,-1.0,-0.5098389982110912,0.0,1
